"GenSp","family"
"Scaptomyza cyrtandrae","Drosophilidae"
"Trigonidium nani","Gryllidae"
"Hyposmocoma candidella","Cosmopterigidae"
"Cheyletus fortis","Cheyletidae"
"Brevicoryne brassicae","Aphididae"
"Kilauella vinosa","Elipsocidae"
"Thyrocopa adumbrata","Oecophoridae"
"Mecyclothorax punakukini","Carabidae"
"Laupala nigra","Gryllidae"
"Echinothrips americanus","Thripidae"
"Lycoriella solispina","Sciaridae"
"Neomyia cornicina","Muscidae"
"Lycophotia saucia","Noctuidae"
"Lispocephala dexioides","Muscidae"
"Neocheyletiella media","Cheyletiellidae"
"Xyletobius scotti","Anobiidae"
"Proterhinus abnormis","Belidae"
"Telenomus nawai","Scelionidae"
"Nesomedon quadratus","Staphylinidae"
"Hydrellia hawaiiensis","Ephydridae"
"Antrocephalus pertorvus","Chalcididae"
"Omiodes asaphombra","Crambidae"
"Folsomia octoculata","Isotomidae"
"Neotoxoptera formosana","Aphididae"
"Dryophthorus distinguendus","Curculionidae"
"Anarhopus sydneyensis","Encyrtidae"
"Scaptomyza basiloba","Drosophilidae"
"Pipunculus hawaiiensis","Pipunculidae"
"Sweziella pictilipennata","Dolichopodidae"
"Proernus aculeatus","Philodromidae"
"Nesodynerus sociabilis","Vespidae"
"Donaceus nigronotatus","Ephydridae"
"Oliarus tarai","Cixiidae"
"Gronotoma micromorpha","Eucoilidae"
"Cyclophora nanaria","Geometridae"
"Spolas delicata","Ichneumonidae"
"Cardiocondyla emeryi","Formicidae"
"Actacarus uniscutatus","Halacaridae"
"Eudonia balanopis","Crambidae"
"Drosophila mercatorum","Drosophilidae"
"Leialoha hawaiiensis","Delphacidae"
"Udea pachygramma","Crambidae"
"Kilauella micramaura","Elipsocidae"
"Pedronia cibotii","Pseudococcidae"
"Ptycta haleakalae ","Psocidae"
"Carulaspis minima","Diaspididae"
"Scaptomyza exigua","Drosophilidae"
"Steatoda grossa","Theridiidae"
"Alloxysta brassicae","Charipidae"
"Plagithmysus decorus","Cerambycidae"
"Udara blackburni","Lycaenidae"
"Lispocephala dilatata","Muscidae"
"Bradysia radicum","Sciaridae"
"Giardomyia furvescens","Cecidomyiidae"
"Gonioryctus fugitivus","Nitidulidae"
"Bephratelloides cubensis","Eurytomidae"
"Lispocephala fasciculata","Muscidae"
"Orthotylus psychotrioides","Miridae"
"Pseudaulacaspis major","Diaspididae"
"Aeletes longipes","Histeridae"
"Neacoryphus bicrucis","Lygaeidae"
"Lestremia clivicola","Cecidomyiidae"
"Nudidrosophila lepidobregma","Drosophilidae"
"Nesopeplus bidens","Nitidulidae"
"Coelopencyrtus sexramosus","Encyrtidae"
"Campsicnemus congregatus","Dolichopodidae"
"Trupanea nigripennis","Tephritidae"
"Lema trilinea","Chrysomelidae"
"Tetragnatha kamakou","Tetragnathidae"
"Agrotis cinctipennis","Noctuidae"
"Dichromothrips corbetti","Thripidae"
"Idiopterus nephrelepidis","Aphididae"
"Alphitobius laevigatus","Tenebrionidae"
"Diaeretiella rapae","Aphidiidae"
"Volucella apicale","Syrphidae"
"Drosophila ciliaticrus","Drosophilidae"
"Coccophagus ochraceus","Aphelinidae"
"Palistreptus hyalinus","Elipsocidae"
"Nesopetinus metallescens","Nitidulidae"
"Eudonia ianthes","Crambidae"
"Anomis vulpicolor","Noctuidae"
"Mecyclothorax gagnei","Carabidae"
"Agrotis selenias","Noctuidae"
"Melophagus ovinus","Hippoboscidae"
"Aloha ipomoeae","Delphacidae"
"Cephalops canutifrons","Pipunculidae"
"Neseis hiloensis intermedius","Lygaeidae"
"Genophantis iodora","Pyralidae"
"Tetranychus ludeni","Tetranychidae"
"Oliarus neomorai oahuana","Cixiidae"
"Eupetinus striatus","Nitidulidae"
"Nesoprosopis homoeochroma","Colletidae"
"Podagrion mantis","Torymidae"
"Carpophilus marginellus","Nitidulidae"
"Lepidopsocus maculatus","Lepidopsocidae"
"Panaphelix marmorata","Tortricidae"
"Rhopalosiphum rufiabdominalis","Aphididae"
"Nysius dallasi","Lygaeidae"
"Cydia new species 1","Olethreutidae"
"Lispocephala ingens","Muscidae"
"Drosophila paucipuncta","Drosophilidae"
"Sierola angustata","Bethylidae"
"Nesiomiris williamsi","Miridae"
"Oeobia caminopis","Crambidae"
"Sierola perkinsi","Bethylidae"
"Sympiesis sparsus","Eulophidae"
"Plagithmysus longulus","Cerambycidae"
"Psychoda hardyi","Psychodidae"
"Hyposmocoma flavicosta","Cosmopterigidae"
"Herpetogramma licarsisalis","Crambidae"
"Paratrechina bourbonica","Formicidae"
"Cheiloneurus americanus","Encyrtidae"
"Orthotylus coprosmopsis","Miridae"
"Abgrallaspis cyanophylli","Diaspididae"
"Nesophrosyne oceanides","Cicadellidae"
"Phlyctaenia pyranthes","Crambidae"
"Eudonia actias","Crambidae"
"Ophiomedon incomptus","Staphylinidae"
"Leptogryllus ookala","Gryllidae"
"Capua trigonifer","Tortricidae"
"Orfelia hawaiiensis","Keroplatidae"
"Dyscritomyia lata","Calliphoridae"
"Tycherobius superbus","Camerobiidae"
"Orthotylus antidesmae","Miridae"
"Mapsidius auspicata","Scythrididae"
"Plusia chalcites","Noctuidae"
"Graptoblatta notulata","Blattellidae"
"Anchiphiloscia pilosa","Philosciidae"
"Agrotis dislocata","Noctuidae"
"Nesticella mogera","Nesticidae"
"Diestota montana","Staphylinidae"
"Xyletobius hawaiiensis","Anobiidae"
"Clytarlus claviger","Cerambycidae"
"Hysteroneura setariae","Aphididae"
"Pseudoparasitus stigmaticus","Laelapidae"
"Nesiomiris timberlakei","Miridae"
"Amblyseius largoensis","Phytoseiidae"
"Drosophila barbata","Drosophilidae"
"Diestota robusta","Staphylinidae"
"Orthotylus daphne kassandra","Miridae"
"Holaspulus tenuipes","Parholaspidae"
"Ptycta apicantha","Psocidae"
"Tegonotus mangiferae","Eriophyidae"
"Dyscritomyia fasciata","Calliphoridae"
"Cyrtopeltis hawaiiensis","Miridae"
"Rhopalomyia chrysantherni","Cecidomyiidae"
"Schrankia sarothrura","Noctuidae"
"Elasmopalpus lignosellus","Pyralidae"
"Physiphora clausa","Otitidae"
"Seira terrestris","Entomobryidae"
"Udea caminopis","Crambidae"
"Ploiaria insolida","Reduviidae"
"Necrobia rufipes","Cleridae"
"Mecyclothorax discedens","Carabidae"
"Charips brassicae","Charipidae"
"Plagithmysus laticollis","Cerambycidae"
"Oceanides pteridicola","Lygaeidae"
"Cryptotermes brevis","Kalotermitidae"
"Caconemobius paralbus","Gryllidae"
"Mecyclothorax karschi","Carabidae"
"Sierola muiri","Bethylidae"
"Glyptonysius amicola","Lygaeidae"
"Xyletobius lineatus","Anobiidae"
"Nesosydne umbratica","Delphacidae"
"Sitophilus linearis","Curculionidae"
"Haliophyle ignita","Noctuidae"
"Proterhinus hawaiiensis","Belidae"
"Nesoprosopis crabronoides","Colletidae"
"Calvoppia perkinsi","Oribatulidae"
"Oligota mutanda","Staphylinidae"
"Udea phaethontia","Crambidae"
"Acalles lateralis","Curculionidae"
"Pseudoclerada morai","Miridae"
"Heterocrossa achroana","Carposinidae"
"Pulex simulans","Pulicidae"
"Tomocerus minor","Entomobryidae"
"Scotorythra artemidora","Geometridae"
"Neoscatella clavipes","Ephydridae"
"Pinnaspis aspidistrae","Diaspididae"
"Asymphorodes dimorpha","Cosmopterigidae"
"Philodoria urerana","Gracillariidae"
"Nysius montivagus","Lygaeidae"
"Megopis reflexa","Cerambycidae"
"Megachile diligens","Megachilidae"
"Palistreptus inconstans","Elipsocidae"
"Xylosandrus crassiusculus","Scolytidae"
"Cryptophlebia vulpes","Olethreutidae"
"Abanchogastra debilis","Ichneumonidae"
"Agrotis chersotoides","Noctuidae"
"Neseis nitida pipturi","Lygaeidae"
"Megaphragma mymaripenne","Trichogrammatidae"
"Plagithmysus blackburni","Cerambycidae"
"Nesoprosopis coniceps","Colletidae"
"Carposina pygmaeella","Carposinidae"
"Ochetellus glaber","Formicidae"
"Pediobius wilderi","Eulophidae"
"Hyposmocoma malornata","Cosmopterigidae"
"Nysius blackburni","Lygaeidae"
"Cydia walsinghamii","Olethreutidae"
"Odynerus venator","Vespidae"
"Drosophila imparisetae","Drosophilidae"
"Nysius coenosulus","Lygaeidae"
"Orthotylus diospyri","Miridae"
"Burmoniscus meeusei","Philosciidae"
"Nipaecoccus viridis","Pseudococcidae"
"Scoparia loxocentra","Crambidae"
"Cerobasis guestfalica","Trogiidae"
"Shibaia longisensilla","Rhagidiidae"
"Litargus vestitus","Mycetophagidae"
"Deilephila nerii","Sphingidae"
"Pipunculus macrothrix","Pipunculidae"
"Allograpta obliqua","Syrphidae"
"Labetis hawaiiensis","Tenebrionidae"
"Aphycus alberti","Encyrtidae"
"Laupala cerasina","Gryllidae"
"Aleurodicus dispersus","Aleyrodidae"
"Conocephalus saltator","Tettigoniidae"
"Theridion praetextum","Theridiidae"
"Ontsira palliatus","Braconidae"
"Oncocephalus pacificus","Reduviidae"
"Sarcophaga dux","Sarcophagidae"
"Plagithmysus davisi","Cerambycidae"
"Scatella cilipes","Ephydridae"
"Eudonia halirrhoa","Crambidae"
"Emoloana sporobolicola immaculata","Delphacidae"
"Syagrius fulvitarsis","Curculionidae"
"Pagria signata","Chrysomelidae"
"Phlyctaenia synastra","Crambidae"
"Mecyclothorax proximus","Carabidae"
"Nysius communis","Lygaeidae"
"Pseudaletia unipuncta","Noctuidae"
"Eupelmus euoplias","Eupelmidae"
"Oligota aethiops","Staphylinidae"
"Megastigmus transvaalensis","Torymidae"
"Xyletobius flosculus","Anobiidae"
"Nesophrosyne ignigena","Cicadellidae"
"Trupanea megaspila","Tephritidae"
"Paralabella curvicauda","Labiidae"
"Promylaea pyropa","Crambidae"
"Alloxysta fuscicornis","Charipidae"
"Neoscatella hawaiiensis","Ephydridae"
"Micromus brunnescens","Hemerobiidae"
"Orthotylus psychotriae","Miridae"
"Telmatogeton pacificus","Chironomidae"
"Merimnetria maculaticornis","Gelechiidae"
"Antilissus aper","Zopheridae"
"Hyposmocoma pseudolita","Cosmopterigidae"
"Plagithmysus jacobii","Cerambycidae"
"Echthromorpha flavoorbitalis","Ichneumonidae"
"Friesea ninau","Hypogastruridae"
"Saissetia coffeae","Coccidae"
"Thyrocopa decipiens","Oecophoridae"
"Xiphidiopsis lita","Tettigoniidae"
"Anthrax koshunensis","Bombyliidae"
"Drosophila kikalaeleele","Drosophilidae"
"Opogona omoscopa","Tineidae"
"Koanoa hawaiiensis","Miridae"
"Scoparia meristis","Crambidae"
"Ariadna perkinsi","Segestriidae"
"Scaptomyza infurcula","Drosophilidae"
"Gambrus ultimus","Ichneumonidae"
"Lophoplusia giffardi","Noctuidae"
"Oligota currax","Staphylinidae"
"Papuaphiloscia laevis","Philosciidae"
"Culex pipiens","Culicidae"
"Scaptomyza setiger","Drosophilidae"
"Lepidocyrtus pallidus","Entomobryidae"
"Copestylum apicale","Syrphidae"
"Apterocis subaeneus","Ciidae"
"Anomalochrysa princeps","Chrysopidae"
"Dromaeolus hawaiiensis","Eucnemidae"
"Nesoprosopis rugulosa","Colletidae"
"Orthotylus sophorae","Miridae"
"Oceanaspidiotus araucariae","Diaspididae"
"Argiope avara","Araneidae"
"Xyleborus vulcanus","Scolytidae"
"Itodacnus gracilis","Elateridae"
"Pseudococcus lycopodii","Pseudococcidae"
"Orthotylus clermontiae","Miridae"
"Heterocrossa plumbeonitida","Carposinidae"
"Nesomicromus minimus","Hemerobiidae"
"Drosophila residua","Drosophilidae"
"Ptilonyssus hirsti","Rhinonyssidae"
"Philodoria auromagnifica","Gracillariidae"
"Drosophila attenuata","Drosophilidae"
"Mecyclothorax subunctus","Carabidae"
"Pseudosinella lahainaensis","Entomobryidae"
"Lepidopsocus aureus","Lepidopsocidae"
"Drosophila ochropleura","Drosophilidae"
"Caconemobius uuku","Gryllidae"
"Odynerus scoriaceus","Vespidae"
"Bactra straminea","Tortricidae"
"Drosophila disticha","Drosophilidae"
"Plagithmysus nodifer","Cerambycidae"
"Drosophila conspicua","Drosophilidae"
"Latrodectus geometricus","Theridiidae"
"Argyrodes hawaiiensis","Theridiidae"
"Chrysonotomyia formosa","Eulophidae"
"Anoplolepis gracilipes","Formicidae"
"Dorilas obscuratus","Pipunculidae"
"Drosophila obscuricornis","Drosophilidae"
"Eudonia thyellopis","Crambidae"
"Scoparia thyellopis","Crambidae"
"Asterolecanium robustum","Asterolecaniidae"
"Diplazon laetatorius","Ichneumonidae"
"Sybra alternans","Cerambycidae"
"Hyposmocoma subnitida","Cosmopterigidae"
"Prosopeus apertus","Nitidulidae"
"Vanessa virginiensis","Nymphalidae"
"Philodoria succedanea","Gracillariidae"
"Drosophila chaetopeza","Drosophilidae"
"Campsicnemus parvulus","Dolichopodidae"
"Hypoponera punctatissima","Formicidae"
"Platyura fuscocostata","Keroplatidae"
"Xyletobius roridus","Anobiidae"
"Drosophila ananassae","Drosophilidae"
"Hoplothrips mauiensis","Phlaeothripidae"
"Aristotelia gigantea","Gelechiidae"
"Paramoera lokowai","Eusiridae"
"Enallagma civile","Coenagrionidae"
"Scoparia pyrseutis","Crambidae"
"Drosophila latigena","Drosophilidae"
"Hyposmocoma trifasciata","Cosmopterigidae"
"Lagopoecus colchicus","Philopteridae"
"Entomobrya malena","Entomobryidae"
"Hyposmocoma saliaris","Cosmopterigidae"
"Plagiomerus hospes","Encyrtidae"
"Oliarus filicicola","Cixiidae"
"Neseis whitei brachypterus","Lygaeidae"
"Havaika cruciata","Salticidae"
"Scatella hawaiiensis","Ephydridae"
"Drosophila disticha","Drosophilidae"
"Hypogastrura pahiku","Hypogastruridae"
"Drosophila dives","Drosophilidae"
"Campsicnemus digitatus","Dolichopodidae"
"Merimnetria gigantea","Gelechiidae"
"Eulaelaps stabularis","Laelapidae"
"Scaptomyza multidenta","Drosophilidae"
"Nesophrosyne montivaga","Cicadellidae"
"Drosophila longipalpus","Drosophilidae"
"Deinomimesa hawaiiensis","Crabronidae"
"Salina maculata","Entomobryidae"
"Cis roridus","Ciidae"
"Listroderes difficilis","Curculionidae"
"Leptocera abdominiseta","Sphaeroceridae"
"Monomorium monomorium","Formicidae"
"Rhinia apicalis","Calliphoridae"
"Cirphis macrosaris","Noctuidae"
"Telostylinus lineolatus","Neriidae"
"Nesosydne blackburni","Delphacidae"
"Scaptomyza buccata","Drosophilidae"
"Lispocephala uniseta","Muscidae"
"Cis laeticulus","Ciidae"
"Pseudococcus straussiae","Pseudococcidae"
"Cis cognatissimus","Ciidae"
"Nesomicromus rubrinervis","Hemerobiidae"
"Ithamar annectans","Rhopalidae"
"Sierola notabilis","Bethylidae"
"Omiodes fullawayi","Crambidae"
"Plagithmysus perkinsi","Cerambycidae"
"Proterhinus subangularis","Belidae"
"Platyzosteria soror","Blattidae"
"Hypoaspis miles","Laelapidae"
"Udea monticolans","Crambidae"
"Polynema gigas","Mymaridae"
"Mecyclothorax rufipennis","Carabidae"
"Schizophragma bicolor","Mymaridae"
"Ptycta haleakalae konae","Psocidae"
"Tetragnatha mandibulata","Tetragnathidae"
"Hylaeus paradoxicus","Colletidae"
"Trichoscapa membranifera","Formicidae"
"Amobia auriceps","Sarcophagidae"
"Lispocephala philydra","Muscidae"
"Anomalochrysa reticulata","Chrysopidae"
"Cephalops rotundipennis","Pipunculidae"
"Odynerus rubropustulatus","Vespidae"
"Scatella amnica","Ephydridae"
"Nesomicromus subochraceus","Hemerobiidae"
"Scoparia erebochalca","Crambidae"
"Tyrophagus putrescentiae","Acaridae"
"Sierola scoriacea","Bethylidae"
"Sierola curvignatha","Bethylidae"
"Porcellio laevis","Porcellionidae"
"Sierola minuta","Bethylidae"
"Delta curvata","Vespidae"
"Salina celebensis","Entomobryidae"
"Chalcolepidius erythroloma","Elateridae"
"Haliophyle niphadopa","Noctuidae"
"Hypsibius canadensis","Hypsibiidae"
"Neoseiulus aurescens","Phytoseiidae"
"Trigonidium varians","Gryllidae"
"Aspidogyrus mirabilis","Eucoilidae"
"Nesosydne koaephyllodii","Delphacidae"
"Nesococcus pipturi","Pseudococcidae"
"Brachymetopa nitida crassipes","Tettigoniidae"
"Orthomecyna exigua","Crambidae"
"Eurytoma orchidearum","Eurytomidae"
"Trypoxylon bicolor","Crabronidae"
"Hyposmocoma alliterata","Cosmopterigidae"
"Eccoptocera new species 7","Tortricidae"
"Trigonidium freycinetiae","Gryllidae"
"Drosophila xanthosoma","Drosophilidae"
"Drosophila incognita","Drosophilidae"
"Eudonia nectarioides","Crambidae"
"Bactrocera dorsalis","Tephritidae"
"Ctenocephalides felis","Pulicidae"
"Hyposmocoma trimelanota","Cosmopterigidae"
"Prosoplus bankii","Cerambycidae"
"Columbicola columbae","Philopteridae"
"Trigonidium neogrande","Gryllidae"
"Agrotis neurogramma","Noctuidae"
"Diaphorus parthenus","Dolichopodidae"
"Prosthetochaeta lucilioides","Calliphoridae"
"Neoseiulus oahuensis","Phytoseiidae"
"Pseudococcus longispinus","Pseudococcidae"
"Blaesoxipha plinthopyga","Sarcophagidae"
"Orchidophilus aterrimus","Curculionidae"
"Enicospilus molokaiensis","Ichneumonidae"
"Scaptomyza paralobae","Drosophilidae"
"Caliothrips fasciatus","Thripidae"
"Myllaena cognata","Staphylinidae"
"Thaumatogryllus cavicola","Gryllidae"
"Trichopria soror","Diapriidae"
"Glyptholaspis americana","Macrochelidae"
"Atractomorpha sinensis","Pyrgomorphidae"
"Scotorythra oxyphractis","Geometridae"
"Hylephila phyleus","Hesperiidae"
"Sierola spicata hawaiiensis","Bethylidae"
"Listroderes costirostris","Curculionidae"
"Ectemnius polynesialis","Crabronidae"
"Echmepteryx madagascariensis","Lepidopsocidae"
"Drosophila involuta","Drosophilidae"
"Amphorophora vaccinii","Aphididae"
"Sierola kauensis","Bethylidae"
"Blackburnia ewingi","Carabidae"
"Odontaleyrodes rhododendri","Aleyrodidae"
"Banza nitida","Tettigoniidae"
"Opuna sharpianus","Miridae"
"Proterhinus vulcanus","Belidae"
"Eudonia nectarias","Crambidae"
"Agrion deceptor","Coenagrionidae"
"Aeletes minor","Histeridae"
"Neanura hawaiiensis","Hypogastruridae"
"Margaronia exaula","Crambidae"
"Batrachedrodes lomenteli","Batrachedridae"
"Saicella mulli","Reduviidae"
"Drosophila hawaiiensis","Drosophilidae"
"Nesodynerus pterocheiloides","Vespidae"
"Sinella caeca","Entomobryidae"
"Bassus laetatorius","Ichneumonidae"
"Asymphorodes triaula","Cosmopterigidae"
"Microcephalothrips abdominalis","Thripidae"
"Drosophila cilifemorata","Drosophilidae"
"Cirphis amblycasis","Noctuidae"
"Choropleca terpsichorella","Tineidae"
"Trigonidium kau","Gryllidae"
"Enicospilus tyrannus","Ichneumonidae"
"Formicaleo wilsoni","Myrmeleontidae"
"Oechalia ferruginea","Pentatomidae"
"Cardioribates oriformis","Oribatulidae"
"Mirosternus plebeius","Anobiidae"
"Strumigenys rogeri","Formicidae"
"Cephalochrysa hovas","Stratiomyidae"
"Apterothrips secticornis","Thripidae"
"Tropicana minuta","Philosciidae"
"Geckobia keegani","Pterygosomatidae"
"Thyrocopa epicapna","Oecophoridae"
"Leucostoma simplex","Tachinidae"
"Sierola laticeps","Bethylidae"
"Aptinothrips rufus","Thripidae"
"Musca sorbens","Muscidae"
"Nesoprosopis erythrodemas","Colletidae"
"Plagithmysus lamarckianus","Cerambycidae"
"Peripsocus ferrugineus","Peripsocidae"
"Gonioryctus perkinsi","Nitidulidae"
"Tricharaea occidua","Sarcophagidae"
"Carposina solutella","Carposinidae"
"Nesidiolestes ana","Reduviidae"
"Sarona alani","Miridae"
"Hydrotaea aenescens","Muscidae"
"Campsicnemus penicillatus","Dolichopodidae"
"Hypurus bertrandi","Curculionidae"
"Canaceoides hawaiiensis","Canacidae"
"Drosophila kaneshiroi","Drosophilidae"
"Prognathogryllus puna","Gryllidae"
"Parthenothrips dracaenae","Thripidae"
"Orthotylus pipturi","Miridae"
"Merimnetria lanaiensis","Gelechiidae"
"Araecerus constans","Anthribidae"
"Tydeus californicus","Tydeidae"
"Anagrus nigriventris","Mymaridae"
"Sphingolabis hawaiiensis","Labiidae"
"Nesophrosyne peleae","Cicadellidae"
"Plusia giffardi","Noctuidae"
"Coloceras chinense","Philopteridae"
"Microvelia vagans","Veliidae"
"Prognathogryllus kohala","Gryllidae"
"Coniocompsa zimmermani","Coniopterygidae"
"Lasioglossum impavidum","Halictidae"
"Halticus chrysolepis","Miridae"
"Drosophila digressa","Drosophilidae"
"Xyletobius euphorbiae","Anobiidae"
"Fletcherana roseata","Geometridae"
"Chirothrips mexicanus","Thripidae"
"Aristotelia maculaticornis","Gelechiidae"
"Anomalochrysa montana","Chrysopidae"
"Manduca blackburni","Sphingidae"
"Aphis middletonii","Aphididae"
"Aporodesminus wallacei","Pyrgodesmidae"
"Euxesta wettsteini","Otitidae"
"Pararrhaptica capucina","Tortricidae"
"Leptopilina rugipunctata","Eucoilidae"
"Leucania loreyimima","Noctuidae"
"Hypoponera zwaluwenburgi","Formicidae"
"Antianthe expansa","Membracidae"
"Echiniscus viridis","Echiniscidae"
"Euxesta annonae","Otitidae"
"Scotorythra apicalis","Geometridae"
"Lycaena blackburni","Lycaenidae"
"Trichocorixa reticulata","Corixidae"
"Anomalochrysa deceptor","Chrysopidae"
"Ptycta stenomedia","Psocidae"
"Drosophila setosifrons","Drosophilidae"
"Hyposmocoma exsul","Cosmopterigidae"
"Encyrtus lecaniorum","Encyrtidae"
"Drosophila psilotarsalis","Drosophilidae"
"Sitophilus oryzae","Curculionidae"
"Coboldia fuscipes","Scatopsidae"
"Singhius hibisci","Aleyrodidae"
"Brachymeria polynesialis","Chalcididae"
"Nabis giffardi","Nabidae"
"Hypergonatopus hawaiiensis","Encyrtidae"
"Scaptomyza anomala","Drosophilidae"
"Nesophrosyne oreadis","Cicadellidae"
"Hirstionyssus butantanensis","Laelapidae"
"Phlaeothrips mauiensis","Phlaeothripidae"
"Drosophila dissita","Drosophilidae"
"Chrysodeixis eriosoma","Noctuidae"
"Anomalochrysa zoe","Chrysopidae"
"Cheiracanthium diversum","Clubionidae"
"Scymnus vividus (poss jr syn)","Coccinellidae"
"Lepidosaphes beckii","Diaspididae"
"Australophiloscia societatis","Philosciidae"
"Scoparia balanopis","Crambidae"
"Fiorinia fioriniae","Diaspididae"
"Drosophila cnecopleura","Drosophilidae"
"Tromatobia ovivora","Ichneumonidae"
"Kelisia sporobolicola immaculata","Delphacidae"
"Anicetus annulatus","Encyrtidae"
"Plastosciara adrostylata","Sciaridae"
"Ctenosciara hawaiiensis","Sciaridae"
"Ethmia nigroapicella","Oecophoridae"
"Drosophila fungicola","Drosophilidae"
"Tullbergia macrochaeta","Onychiuridae"
"Typhlodromalus peregrinus","Phytoseiidae"
"Conoderus exsul","Elateridae"
"Scotorythra ochetias","Geometridae"
"Hypoaspis queenslandicus","Laelapidae"
"Alaptus immaturus","Mymaridae"
"Nagurus cristatus","Trachelipidae"
"Philonthus scybalarius","Staphylinidae"
"Haplothrips gowdeyi","Phlaeothripidae"
"Mecistocephalus maxillaris","Mecistocephalidae"
"Xyletobius collingei","Anobiidae"
"Scatella williamsi","Ephydridae"
"Aphidius obscuripes","Aphidiidae"
"Cephalops molokaiensis","Pipunculidae"
"Teleogryllus oceanicus","Gryllidae"
"Cis insulicola","Ciidae"
"Ovatus crataegarius","Aphididae"
"Saldula procellaris","Saldidae"
"Nesosydne cyathodis","Delphacidae"
"Entomobrya socia","Entomobryidae"
"Misumena anguliventris","Thomisidae"
"Pseudosmittia maculiventris","Chironomidae"
"Tricorynus herbarius","Anobiidae"
"Nasonovia ribisnigri","Aphididae"
"Neoseiulus setulus","Phytoseiidae"
"Liodes theleproctus","Liodidae"
"Nesodynerus dromedarius","Vespidae"
"Cycloptiloides americanus","Gryllidae"
"Pauahiana metallica","Eulophidae"
"Chthonius tetrachelatus","Chthoniidae"
"Mirosternus discolor","Anobiidae"
"Leucania euclidias","Noctuidae"
"Merimnetria new species 3","Gelechiidae"
"Helegonatopus pseudophanes","Encyrtidae"
"Nysius lichenicola","Lygaeidae"
"Eopenthes cognatus","Elateridae"
"Nesodynerus holomelas","Vespidae"
"Udea calliastra synastra","Crambidae"
"Apallates hermsi","Chloropidae"
"Capitophorus elaeagni","Aphididae"
"Chrysomphalus dictyospermi","Diaspididae"
"Nesodynerus crypterythrus","Vespidae"
"Plautia stali","Pentatomidae"
"Cillaeopeplus reitteri","Nitidulidae"
"Orthocladius williamsi","Chironomidae"
"Urozelotes rusticus","Gnaphosidae"
"Banchogastra nigra","Ichneumonidae"
"Gonioryctus eremitus","Nitidulidae"
"Cadrema pallida","Chloropidae"
"Pyrausta chloropis","Crambidae"
"Simosyrphus grandicornis","Syrphidae"
"Eucymatoge orichloris","Geometridae"
"Haliophyle flavistigma","Noctuidae"
"Ceresium simplex","Cerambycidae"
"Odynerus newelli","Vespidae"
"Drosophila halapepe","Drosophilidae"
"Nesodynerus perkinsi","Vespidae"
"Phlyctaenia liopis","Crambidae"
"Drosophila ceratostoma","Drosophilidae"
"Ischiodon grandicornis","Syrphidae"
"Hypena obsoleta","Noctuidae"
"Tylparua hawaiiensis","Keroplatidae"
"Nesodynerus melanognathus","Vespidae"
"Gahaniella saissetiae","Encyrtidae"
"Drosophila apicisetae","Drosophilidae"
"Spalangia lanaiensis","Pteromalidae"
"Entomobrya sauteri","Entomobryidae"
"Calliphora vomitoria","Calliphoridae"
"Hydroptila arctia","Hydroptilidae"
"Milichiella lacteipennis","Milichiidae"
"Geckobia nepalii","Pterygosomatidae"
"Hylaeus anthracinus","Colletidae"
"Lonchaea striatifrons","Lonchaeidae"
"Idiomyia silvestris","Drosophilidae"
"Pantomorus cervinus","Curculionidae"
"Decadarchis flavistriata","Tineidae"
"Bourletiella hortensis","Sminthuridae"
"Hoplothrips flavitibia","Phlaeothripidae"
"Psychoda inornata","Psychodidae"
"Cybocephalus nipponicus","Nitidulidae"
"Allaphorura encarpatus","Onychiuridae"
"Glyphodes cyanomichla","Crambidae"
"Cis nudipennis","Ciidae"
"Eudonia crataea","Crambidae"
"Sierola atra","Bethylidae"
"Mecyclothorax williamsi","Carabidae"
"Enicospilus longicornis","Ichneumonidae"
"Neelus minutus","Neelidae"
"Cephalops macrothrix","Pipunculidae"
"Neoseiulus longispinosus","Phytoseiidae"
"Hypergonatopus vulcanus","Encyrtidae"
"Cis pacificus","Ciidae"
"Pararrhaptica lichenoides","Tortricidae"
"Oligota tenuicornis","Staphylinidae"
"Pseudococcus pseudonipae","Pseudococcidae"
"Nesidiolestes insularis","Reduviidae"
"Hyposmocoma cristata","Cosmopterigidae"
"Notoedres cati","Sarcoptidae"
"Plagithmysus acaciae","Cerambycidae"
"Dryophthorus squalidus","Curculionidae"
"Sclerodermus polynesialis","Bethylidae"
"Dromaeolus compressus","Eucnemidae"
"Aceria swezeyi","Eriophyidae"
"Limonia nigropolita","Tipulidae"
"Goniothorax perkinsi","Nitidulidae"
"Spodoptera exigua","Noctuidae"
"Isotomiella minor","Isotomidae"
"Galumna alata","Galumnidae"
"Cis bimaculatus","Ciidae"
"Helionothrips errans","Thripidae"
"Odonaspis greenii","Diaspididae"
"Sarcophaga peregrina","Sarcophagidae"
"Targalla delatrix","Noctuidae"
"Hedylepta blackburni","Crambidae"
"Aeallia lingula","Cicadellidae"
"Parasaissetia nigra","Coccidae"
"Pseudocistela konae","Tenebrionidae"
"Thyrocopa usitata","Oecophoridae"
"Scaptomyza obscuricornis","Drosophilidae"
"Scotorythra rara","Geometridae"
"Aphis fabae","Aphididae"
"Omiodes anastreptoides","Crambidae"
"Udea liopis","Crambidae"
"Drosophila canavalia","Drosophilidae"
"Cydia plicata","Olethreutidae"
"Kleidotoma costata","Eucoilidae"
